ID	sample-1_rpkm	sample-2_rpkm	sample-3_rpkm	sample-4_rpkm	sample-5_rpkm	group
Unigene0000075	3.710296927	5.135753031	3.660335912	3.98826467	3.721841292	group1
Unigene0000076	3.023978429	5.400082726	2.571635528	3.404389817	3.491561234	group1
Unigene0000077	4.362923911	3.258760075	2.851281512	5.498232904	2.955755029	group1
Unigene0000078	2.522237193	2.877866504	2.865672812	3.638286269	4.338009789	group1
Unigene0000079	4.066853934	2.879021247	3.624571389	4.237746226	3.799670212	group1
Unigene0000080	4.825487032	3.433787277	6.346809512	4.602378942	4.709950993	group1
Unigene0000081	4.248701607	5.386623676	4.085884883	3.844445	5.502590606	group1
Unigene0000082	4.776839415	4.1029762	3.634524834	3.150421675	4.035103491	group1
Unigene0000083	2.798304648	3.0948216	5.5746108	3.588973035	2.299200263	group1
Unigene0000084	5.435435796	4.854927148	5.17859975	5.112463997	4.768899396	group1
Unigene0000085	2.92524146	3.510887383	3.15683316	4.677199106	4.54889221	group1
Unigene0000086	2.570340477	4.141131062	3.349245702	4.388292866	5.315702126	group1
Unigene0000087	4.787768625	2.529494827	3.921656982	2.785645219	3.744855149	group1
Unigene0000088	4.652819504	4.327472757	4.29008405	4.061863178	3.875655356	group1
Unigene0000089	3.770938057	2.682134593	4.99071602	2.18769881	3.559220787	group1
Unigene0000090	5.716321409	3.68919829	4.763464814	3.774757719	4.219537696	group1
Unigene0000091	3.781522412	3.5871467	4.575569519	5.547976705	3.698736231	group1
Unigene0000092	6.197295049	3.545956405	4.849259781	4.198033847	5.124030267	group1
Unigene0000093	2.800346712	4.079426149	2.554140532	3.018699754	3.110938504	group1
Unigene0000094	3.444154661	7.112454319	4.372319957	2.327510167	3.355133018	group1
Unigene0000095	3.511120652	5.831790782	5.332345828	4.651906602	3.738474219	group1
Unigene0000096	3.99170072	3.647339317	6.336927926	3.212527398	3.975827132	group1
Unigene0000097	5.683206519	4.09058306	1.966648578	3.669041679	5.028406857	group1
Unigene0000098	5.039854004	2.401790892	6.417089876	3.721891812	4.699574446	group1
Unigene0000099	4.147191293	4.558628441	3.799970926	5.693514983	3.678150204	group1
Unigene0000100	3.491586751	4.093600889	4.841912485	2.701257323	5.241412026	group1
Unigene0000101	3.16950661	5.832946017	3.633539411	4.387198712	4.549754416	group1
Unigene0000102	2.784326328	4.160846887	2.807238151	2.976752132	2.591232086	group1
Unigene0000103	5.967582567	3.94684946	2.48080134	1.604034349	2.516803092	group1
Unigene0000104	3.046860351	4.235818501	3.797766722	4.536982958	5.526823646	group1
Unigene0000105	4.087971854	3.919256076	5.448281316	3.425053629	4.439692128	group1
Unigene0000106	4.59360648	5.522210652	4.47218531	3.875086301	4.391689918	group1
Unigene0000107	4.064121875	3.833610765	3.025890294	2.792826507	4.325602266	group1
Unigene0000108	3.885760108	3.808760822	2.346910977	1.551160723	5.922936108	group1
Unigene0000109	4.336664184	5.011015478	3.36524422	3.653834012	3.232598507	group1
Unigene0000110	5.327936759	3.62009955	3.802783629	4.392626392	3.639702437	group1
Unigene0000111	3.60201786	5.064023934	3.661181625	3.55314111	5.79467335	group1
Unigene0000112	3.852471886	2.214567578	3.798111213	4.40330468	4.797111024	group1
Unigene0000113	3.74629213	3.694153065	4.997288193	4.458954069	3.905204899	group1
Unigene0000114	4.360380909	3.706411385	4.410205618	4.35957937	3.021280183	group1
Unigene0000115	3.737583045	5.570129333	2.581595365	3.43619909	4.444384726	group1
Unigene0000116	2.284122628	4.090530922	4.369132642	6.046849908	2.496694478	group1
Unigene0000117	2.770201074	2.753916702	4.209746717	5.170747978	4.966322846	group1
Unigene0000118	3.317911334	5.670722898	2.173769852	5.052959321	3.502082998	group1
Unigene0000119	3.966979823	5.517697193	5.609279312	5.274455309	4.243817112	group1
Unigene0000120	2.344921767	3.609164699	4.483707789	1.739527054	6.531200604	group1
Unigene0000121	2.59316907	0.859201991	4.501143876	3.597286219	3.922686983	group1
Unigene0000122	4.753820842	3.444497535	2.821681448	4.285346159	3.733247312	group1
Unigene0000123	2.944624126	2.91218919	5.424473054	3.77384827	3.912413886	group1
Unigene0000124	2.673933994	4.830644794	3.165925366	5.23338312	2.778930745	group1
Unigene0000125	3.202099965	4.557834823	2.06030661	4.251773068	4.906547898	group1
Unigene0000126	4.391330989	4.27904111	3.707801267	3.001161643	3.545623335	group1
Unigene0000127	4.615392814	3.532978317	4.925782094	3.277629339	3.202583355	group1
Unigene0000128	5.985771316	4.821295344	5.683749723	4.24136132	3.793784328	group1
Unigene0000129	4.008331182	4.107829641	2.953390808	3.315385167	3.91237064	group1
Unigene0000130	5.445306324	2.138743954	6.411782799	3.802828886	4.215217791	group1
Unigene0000131	3.249624664	2.632609433	4.279291693	3.250955832	4.697847303	group1
Unigene0000132	5.525448843	5.062586191	3.85808113	4.121375246	3.923800581	group1
Unigene0000133	3.840287377	4.711419547	5.850507006	2.014230886	4.754575447	group1
Unigene0000134	3.726024906	3.126141366	3.442488748	5.261244975	4.626208645	group1
Unigene0000135	5.692030611	3.069267213	2.722402953	4.305279388	2.812608863	group1
Unigene0000136	2.933066838	3.513215715	4.212776156	4.345008498	5.804044091	group1
Unigene0000137	5.914740762	3.515131448	2.140243799	3.380721962	2.670257239	group1
Unigene0000138	5.467872683	4.6778105	3.848541848	3.669899795	5.183393032	group1
Unigene0000139	5.679653828	4.526626567	3.521307788	4.834747469	3.631457577	group1
Unigene0000140	4.708032159	2.823119959	3.894217622	6.440996206	6.390758576	group1
Unigene0000141	4.31649314	2.932193494	4.317680839	4.234486243	5.578195232	group1
Unigene0000142	4.692846226	3.195049698	2.687464407	3.456665899	3.138719635	group1
Unigene0000143	5.732439188	5.493800142	5.373153634	4.988920336	5.629677984	group1
Unigene0000144	3.917683294	3.169044157	4.153545247	4.396214513	3.487650513	group1
Unigene0000145	3.336547894	3.076103637	3.77265665	4.130990497	5.6110971	group1
Unigene0000146	4.249265427	4.892504586	6.777188638	3.213946993	2.872378338	group1
Unigene0000147	5.218997813	3.660355319	4.146738749	4.951058592	3.335301508	group1
Unigene0000148	4.288211529	4.174309648	4.203939727	2.901926145	2.081484435	group1
Unigene0000149	3.221387185	5.15126931	4.354655941	3.459600414	2.532586008	group1
Unigene0000150	3.675281478	2.99810122	3.111023371	1.80086716	2.289155645	group1
Unigene0000151	4.133226488	5.1474265	3.898312268	4.799490637	2.57124856	group1
Unigene0000152	3.873204672	4.117692268	4.882764186	4.874153673	5.954779995	group1
Unigene0000153	3.883589861	4.372431203	4.300229822	7.150547223	3.67103454	group1
Unigene0000154	5.07111635	4.506441067	4.588087436	5.406878341	4.459490782	group1
Unigene0000155	7.029275072	5.397369263	4.327223849	2.236944782	5.116337739	group1
Unigene0000156	3.632294769	3.668688065	2.636162556	4.220481833	3.282810852	group1
Unigene0000157	4.703763937	3.067581933	4.696868738	3.612337004	3.662529696	group1
Unigene0000158	4.010613927	2.316275247	3.328849991	3.789394039	4.232486712	group1
Unigene0000159	2.966606182	4.535833802	5.292365396	2.443192402	3.420114913	group1
Unigene0000160	4.35731468	3.97975698	4.116341279	3.549793463	3.972168689	group1
Unigene0000161	2.736544537	2.663749158	4.97668634	4.503395166	4.89897033	group1
Unigene0000162	3.518229234	4.473742798	4.444573477	3.077677721	5.046942049	group1
Unigene0000163	4.793743947	3.023056239	3.618300002	5.22406209	3.461256653	group1
Unigene0000164	4.992724292	6.111963039	4.312495195	3.613787791	6.649186915	group1
Unigene0000165	3.056330868	4.126660624	4.22921096	3.399780458	4.187024132	group1
Unigene0000166	4.636421937	4.438446632	5.007686101	3.3973431	2.275144061	group1
Unigene0000167	5.007088443	4.742131417	5.566962645	3.174035802	3.611228312	group1
Unigene0000168	3.202894522	2.579888527	4.582681714	4.062869314	3.402054811	group1
Unigene0000169	3.557758162	3.708477695	2.648727462	2.46122526	4.553254643	group1
Unigene0000170	4.784266396	3.769010747	4.623173595	2.997392839	5.463088709	group1
Unigene0000171	3.025948856	2.766261052	2.656789807	4.537797653	3.780324908	group1
Unigene0000172	3.656564659	4.597545442	4.155709024	2.207909893	3.862520057	group1
Unigene0000173	3.406136597	3.779896869	2.781418699	2.776495049	3.55426609	group1
Unigene0000174	5.285685896	3.58982899	3.101184565	4.306616857	4.406527495	group1
Unigene0000175	2.348497705	3.577311214	5.192159486	6.039934646	3.024784768	group1
Unigene0000176	3.22100589	6.596241718	3.738417074	5.510525886	5.745768662	group1
Unigene0000177	0.235538223	3.696429105	5.476844089	5.882480998	3.587673427	group1
Unigene0000178	3.096032131	5.449862984	6.339977828	3.231512298	5.63162068	group1
Unigene0000179	2.724875854	3.495993308	5.865746211	4.210328482	3.673065049	group1
Unigene0000180	1.786862926	3.699209192	5.367131378	4.538198596	5.118065134	group1
Unigene0000181	4.635919911	2.05012371	3.342186582	3.374046226	4.085578526	group1
Unigene0000182	2.895257606	2.549081499	4.35900091	3.842418544	3.81709895	group1
Unigene0000183	3.199094222	2.710052149	4.915610128	4.187939279	4.670114255	group1
Unigene0000184	1.901235747	5.389174804	3.37027904	4.628359396	4.447414132	group1
Unigene0000185	6.03182213	2.505716639	3.241801264	4.872156664	4.482534539	group1
Unigene0000186	4.503610161	3.643633354	1.84928167	1.199397897	2.264727354	group1
Unigene0000187	3.093272904	3.391542948	4.359220188	4.554521534	5.327681158	group1
Unigene0000188	5.2427748	3.505511899	3.467299972	3.903730331	4.198945137	group1
Unigene0000189	6.476098677	4.253715476	3.599767435	3.05021151	3.308952403	group1
Unigene0000190	3.893890853	3.662906541	4.923924098	4.611057958	5.341245862	group1
Unigene0000191	5.662221143	3.913317373	3.019040865	4.885273669	3.255690796	group1
Unigene0000192	4.523304953	4.054248563	5.412009948	4.216158158	2.602896265	group1
Unigene0000193	4.748798185	2.913514884	2.621115094	3.573026724	3.003691774	group1
Unigene0000194	4.152474081	2.953593364	3.319564818	3.669720741	5.201339142	group1
Unigene0000195	4.024448182	3.4068878	4.58933904	4.583177379	5.756648505	group1
Unigene0000196	3.075100148	2.9757045	3.169364669	4.464549536	2.959850668	group1
Unigene0000197	3.091119787	3.541127283	4.584112216	3.793300587	4.559670991	group1
Unigene0000198	4.233016966	3.514907349	4.717411621	3.075702869	4.23490102	group1
Unigene0000199	4.217824263	5.225365247	4.717141484	4.311319484	5.354538777	group1
Unigene0000200	5.768966122	1.953420023	2.342215532	3.104585023	5.011460882	group1
Unigene0000201	2.896478752	3.59731595	2.877532429	4.858995759	4.733921294	group1
Unigene0000202	4.552942074	5.107863336	5.021909345	2.538248732	5.142436758	group1
Unigene0000203	4.251783079	5.634560632	3.556163567	3.160501524	2.494447275	group1
Unigene0000204	5.078616378	2.142384789	3.467583159	2.330121288	3.206608304	group1
Unigene0000205	4.978702436	3.233336649	3.588754228	5.126685267	4.074178454	group1
Unigene0000206	3.996514612	3.276471507	3.111441099	3.36641024	4.152516536	group1
Unigene0000207	4.025531285	4.627028824	1.806654254	4.201367862	4.129683536	group1
Unigene0000208	3.964477171	5.0090298	3.583349088	2.773277535	5.650296435	group1
Unigene0000209	4.722497464	3.815290814	4.97625407	4.744793732	4.575407221	group1
Unigene0000210	4.337362554	3.300809373	4.645098695	3.453392869	3.705341611	group1
Unigene0000211	4.664656369	4.237897853	4.782048528	4.397510309	4.434287907	group1
Unigene0000212	2.35964139	6.61886751	5.533910888	2.625587082	4.431818581	group1
Unigene0000213	4.484284233	3.918339242	4.808919197	4.112221746	4.575337961	group1
Unigene0000214	3.966386068	3.665202788	4.854597544	2.249916414	3.928493748	group1
Unigene0000215	1.450640056	3.223065251	3.466421917	4.246733462	5.259328931	group1
Unigene0000216	4.843589722	3.651675187	4.545124445	5.389427853	4.874831568	group1
Unigene0000217	4.371735256	5.443733292	1.836409144	4.274328781	4.529661484	group1
Unigene0000218	4.510602484	4.31150536	4.463241236	5.884551479	1.535154507	group1
Unigene0000219	5.273108012	3.585648841	3.005860468	3.977929998	5.335326898	group1
Unigene0000220	3.866321847	3.167730008	3.502298685	4.095401012	5.55010932	group1
Unigene0000221	4.20254264	4.757616114	4.524623881	5.413669126	4.002201503	group1
Unigene0000222	2.464181353	4.943447875	6.065809976	3.383488225	3.658398991	group1
Unigene0000223	6.449360285	4.486124221	4.538667502	4.729111406	2.775376285	group1
Unigene0000224	4.64567928	4.019229253	3.28546959	5.497514886	5.394356954	group1
Unigene0000225	4.049825978	4.127211562	2.998498024	4.655925414	1.66147146	group1
Unigene0000226	4.521984319	3.312771331	6.247468518	2.944005779	4.007285174	group1
Unigene0000227	4.891930832	3.60185176	2.258592249	3.941616769	4.380133545	group1
Unigene0000228	4.192780576	3.585515294	4.841806341	3.632354278	3.905354031	group1
Unigene0000229	4.063449554	3.543423155	3.09443411	3.972401095	2.96862337	group1
Unigene0000230	4.503399893	3.916739063	3.941220361	3.77574548	2.640906028	group1
Unigene0000231	4.865432439	4.59519133	4.969093099	3.05408528	4.300434705	group1
Unigene0000232	3.965117528	3.317122171	5.124515349	1.436833906	5.254208282	group1
Unigene0000233	4.24660336	3.944044159	2.456886235	3.681231502	3.70163755	group1
Unigene0000234	3.625080887	3.538350174	4.500864098	2.238723073	5.142219462	group1
Unigene0000235	3.672786142	2.424571601	3.512880078	2.496638064	2.552532317	group1
Unigene0000236	3.699302436	4.934896434	4.853501577	3.982903936	5.270705727	group1
Unigene0000237	4.595116567	4.780286364	5.02087292	4.030763572	2.831617164	group1
Unigene0000238	5.161192013	5.558688622	2.963380649	3.49166791	3.191168722	group1
Unigene0000239	4.101865513	4.389652975	3.505115496	6.471884322	3.619185391	group1
Unigene0000240	5.740539208	5.264095203	3.779315569	3.789085735	2.782900746	group1
Unigene0000241	3.750924686	4.244546228	4.261932892	3.997095343	3.625476985	group1
Unigene0000242	4.416921815	4.128957381	4.621563172	3.838982792	4.192749861	group1
Unigene0000243	3.477162779	3.114788602	3.22371108	4.53225522	3.77727127	group1
Unigene0000244	4.574666376	3.204473028	1.453169177	3.394744002	4.982020774	group1
Unigene0000245	1.862457171	4.574242603	4.503561141	3.711009027	3.025791448	group1
Unigene0000246	3.665690081	4.618860206	4.216958531	3.875364212	4.201215849	group1
Unigene0000247	4.072798728	4.648194642	5.178339034	3.610225934	3.983798167	group1
Unigene0000248	5.449055349	2.212356432	4.588777153	3.859265351	4.719557183	group1
Unigene0000249	3.697281108	2.79725066	3.339321961	4.125746557	2.141161646	group1
Unigene0000250	3.151418487	3.549614637	3.121672012	4.100232319	2.417852409	group1
Unigene0000251	4.402846071	3.28372981	4.15090371	5.958684702	2.184384973	group1
Unigene0000252	3.74130557	2.240996878	3.805510315	2.074125997	2.489803813	group1
Unigene0000253	3.830476863	2.548472819	2.50251576	5.115396227	3.253729114	group1
Unigene0000254	3.298544881	4.186688415	4.854106182	2.804531292	4.934964309	group1
Unigene0000255	4.405766654	5.055735151	2.391139537	4.344297188	3.936395956	group1
Unigene0000256	4.391183197	5.366495278	4.246180928	4.024450545	3.467911278	group1
Unigene0000257	4.629629066	2.111486111	2.81703145	4.267181761	3.645418012	group1
Unigene0000258	2.641603861	2.118006275	4.38441531	5.597878823	3.555990638	group1
Unigene0000259	4.65639607	4.525371337	3.753128652	2.868790548	5.092597492	group1
Unigene0000260	3.571920124	4.622464666	4.698012887	3.439227235	2.999926516	group1
Unigene0000261	3.408244262	3.088408166	3.490223642	2.871549363	4.610067906	group1
Unigene0000262	4.555699606	4.223955577	4.607158461	5.249721839	4.032620845	group1
Unigene0000263	5.099144189	3.063258929	2.517261173	3.806779363	5.328676178	group1
Unigene0000264	3.277429962	3.872298166	6.259652395	3.984221856	4.794909349	group1
Unigene0000265	4.307970702	1.883965824	4.921037366	3.048585171	4.279857315	group1
Unigene0000266	4.484018161	2.59475345	4.368413874	6.432410478	5.731698005	group1
Unigene0000267	7.117922724	4.425669342	4.382997454	5.512196819	1.513542653	group1
Unigene0000268	5.434839686	5.887735957	3.425422374	4.825971542	4.23049738	group1
Unigene0000269	3.432805253	3.113402905	1.950991088	4.265484656	5.187799969	group1
Unigene0000270	3.945036896	2.939345312	2.654400129	3.417720844	3.199921306	group1
Unigene0000271	2.798675309	4.436624678	4.830839954	1.695573144	2.181494984	group1
Unigene0000272	3.95903225	3.193138459	3.821910874	6.848727585	2.042894957	group1
Unigene0000273	2.870162549	7.491926476	4.869040806	3.550849204	3.104548905	group1
Unigene0000274	4.282547512	3.953193176	2.34508101	3.359481322	3.351079151	group1
Unigene0000275	3.29632658	3.557557501	3.895097371	3.371561408	3.585013646	group1
Unigene0000276	5.958178395	4.119089286	4.99155545	4.627077123	3.787735984	group1
Unigene0000277	3.526909282	5.939713369	4.869658751	4.879890998	2.988239108	group1
Unigene0000278	4.435831626	5.52895769	4.07181031	3.318146881	2.489298759	group1
Unigene0000279	4.076523876	5.148933226	4.596627402	3.700662689	5.073517762	group1
Unigene0000280	1.531796581	4.198311263	4.910501044	4.502381132	4.406793252	group1
Unigene0000281	3.189988586	3.704165833	2.33025977	3.481105705	2.507961784	group1
Unigene0000282	4.286122297	3.947377094	3.283304739	2.215688114	4.003975015	group1
Unigene0000283	4.9999662	2.557584374	6.132046962	2.721666831	3.715249164	group1
Unigene0000284	2.42111191	5.403055116	4.150322655	4.224766293	3.260787766	group1
Unigene0000285	4.470335577	4.968814254	5.517442191	2.902981878	5.017972488	group1
Unigene0000286	3.835108913	4.528187704	5.160086569	4.41021241	3.583387803	group1
Unigene0000287	5.576014393	3.063090914	4.874178738	4.855084654	4.437125229	group1
Unigene0000288	4.33256073	3.57609156	4.469126417	3.080843408	4.286443652	group1
Unigene0000289	3.751189058	2.849356812	4.003507688	2.077998019	3.028461765	group1
Unigene0000290	4.584552665	4.127425277	4.265429437	3.152980215	3.53737948	group1
Unigene0000291	2.781893087	3.021038173	4.472092227	2.917867032	4.667323731	group1
Unigene0000292	3.804498868	2.749250466	4.138433062	3.433108519	2.62446194	group1
Unigene0000293	5.450198665	2.979843945	4.62560437	2.661129715	5.099191001	group1
Unigene0000294	3.975160524	2.675762449	3.471991088	3.69603359	3.968967034	group1
Unigene0000295	3.648520797	5.150255933	4.502994163	3.283938476	4.570342336	group1
Unigene0000296	1.842942062	5.16369058	5.125925108	3.85705745	4.416062608	group1
Unigene0000297	5.320872399	2.239439684	6.099851869	5.938631267	3.666113078	group1
Unigene0000298	3.527554139	2.641120896	5.325883677	3.597877673	3.566991465	group1
Unigene0000299	3.526530375	4.794612824	5.015323891	3.158431078	4.971272746	group1
Unigene0000300	3.86451546	4.073851273	4.298443696	3.808105773	3.572366921	group1
Unigene0000301	4.027194641	3.814918584	4.072659785	5.16600554	4.450047842	group1
Unigene0000302	5.860609921	6.496173523	4.84642862	4.847879177	4.306760171	group1
Unigene0000303	4.767830507	1.92073853	1.339321926	4.243205508	4.117610084	group1
Unigene0000304	3.848011338	3.140239611	4.886583391	3.040304511	2.770801966	group1
Unigene0000305	3.711527213	3.737107588	2.373993026	3.690440075	2.496743365	group1
Unigene0000306	2.684691241	5.199684538	3.727124389	3.017845643	3.215702909	group1
Unigene0000307	4.997185568	3.414649105	2.859821532	3.351673685	2.685401755	group1
Unigene0000308	2.931978164	5.673581804	1.873128437	4.149403523	3.806973021	group1
Unigene0000309	2.342025345	3.138921501	3.437934998	3.747548535	2.691823418	group1
Unigene0000310	4.202812846	4.263523325	3.656082798	2.712258432	3.954723013	group1
Unigene0000311	5.366721001	2.22074463	4.439863801	1.600795581	4.391089694	group1
Unigene0000312	4.452189548	2.238539373	3.571984518	2.381409974	3.03302322	group1
Unigene0000313	3.90107454	4.649057685	4.979653653	4.181220749	3.365967508	group1
Unigene0000314	4.012440714	3.730004308	4.906420034	3.378072785	2.885447157	group1
Unigene0000315	3.591184252	4.473395523	2.858586439	4.979913563	3.358242176	group1
Unigene0000316	5.429165608	4.935979787	4.221254309	3.720531201	2.817588687	group1
Unigene0000317	5.738307637	4.179031048	3.306167797	4.436864279	5.452603761	group1
Unigene0000318	3.147933679	5.074879841	3.200477036	5.357474509	3.466843679	group1
Unigene0000319	4.400131114	4.354121934	4.684326034	2.971635776	2.937327047	group1
Unigene0000320	5.46919771	4.109393865	3.381564477	4.34458307	5.08006255	group1
Unigene0000321	2.850905316	3.241413675	6.294543634	2.305227027	2.587726879	group1
Unigene0000322	3.084692505	4.471616194	5.187742867	3.890447335	4.059074981	group1
Unigene0000323	3.709301808	3.033658924	4.208461456	2.296718855	6.100270576	group1
Unigene0000324	3.609911412	3.551593408	4.830404572	3.916080681	3.649472953	group1
Unigene0000325	4.853255113	4.446905002	4.469349218	1.959380286	2.81233445	group1
Unigene0000326	4.339370444	3.333213575	4.311831276	4.151999372	4.521395718	group1
Unigene0000327	3.56862824	5.435156593	2.977140418	2.971503093	3.979245402	group1
Unigene0000328	5.827076179	2.865110178	4.289730236	4.433482395	2.515157929	group1
Unigene0000329	4.019574657	4.382108104	5.14354607	2.697421344	4.80353404	group1
Unigene0000330	4.044730326	3.274488058	4.528386387	5.856430656	4.67414226	group1
Unigene0000331	3.979080566	4.211814516	3.938048199	4.219174968	5.819684555	group1
Unigene0000332	6.208294094	3.274363137	5.480480276	4.358871064	4.604868057	group1
Unigene0000333	3.184908914	5.926625685	4.789887291	3.691778588	3.462069452	group1
Unigene0000334	3.590410853	4.213217515	4.882510179	3.928251389	4.721370481	group1
Unigene0000335	2.229134723	3.308677728	4.23479602	4.058256632	3.788834919	group1
Unigene0000336	1.797227355	5.084036826	4.123288649	2.435105528	5.705140082	group1
Unigene0000337	3.809181597	4.698527592	3.650752809	2.993010513	5.334567561	group1
Unigene0000338	4.548881622	4.680283183	4.019265019	5.255152099	6.086127404	group1
