id	A-1_rpkm	A-2_rpkm	A-3_rpkm	B-1_rpkm	B-2_rpkm	B-3_rpkm	C-1_rpkm	C-2_rpkm	C-3_rpkm
Unigene0000024	3.223	3.799	7.6111	3.7966	0.9515	2.4513	1.6677	1.663	3.7122
Unigene0000025	16.343	11.8028	14.0538	10.1909	18.7771	13.1943	11.233	13.014	15.8476
Unigene0000026	1.5271	1.192	1.4143	1.1172	2.4452	1.2711	0.9255	1.0709	1.2061
Unigene0000027	0	0	0	0.1344	0.3806	0.1278	0.3541	0.5189	0.2627
Unigene0000028	5.5892	4.4652	5.1055	4.5643	5.9032	5.7786	3.0006	3.7931	2.9333
Unigene0000029	3.0224	3.6478	4.335	2.4076	3.6573	4.0491	5.099	5.7755	3.8114
Unigene0000030	0.4054	0.6394	0.7889	0.8666	1.2614	0.2747	2.0341	1.1504	1.0591
Unigene0000031	0	0	0.0543	0.2734	0.0516	0.104	0.4324	0.4356	0.6416
Unigene0000032	34.4879	33.1506	33.2493	37.0262	51.8951	49.0866	33.8914	33.2342	35.4614
Unigene0000033	8.1436	8.6063	8.1803	3.3305	2.7101	2.8331	0.0154	0.0226	0.0153
Unigene0000034	0.1712	0.0831	0	0	0.1152	0.145	0	0.0442	0
Unigene0000035	0.5525	0.2905	0.1955	0.525	0.7435	0.2652	0.1459	0.1901	0.1925
Unigene0000036	6.9142	4.1792	5.0054	4.4058	7.219	4.082	5.4536	5.5868	6.6143
Unigene0000037	1.0254	1.8928	1.4157	0.6947	3.2798	0.7631	6.2507	5.204	5.5984
Unigene0000038	1.7658	1.7682	1.3746	0.7814	6.084	0.9194	0.9818	0.9111	0.8288
Unigene0000039	0.2269	0.0734	0	0	0.7634	0.0769	0.0266	0	0.1054
Unigene0000040	1.3924	0.6483	0.9774	1.0648	2.6886	1.0738	0.287	0.3621	0.2603
Unigene0000041	0.1295	0.0629	0	0	0.3051	0	0	0	0
Unigene0000042	1.02	0	0.0849	0.1283	1.9781	0.0813	0.1268	0.1238	0.0836
Unigene0000043	0.3309	0.5889	0.0781	0	0.7051	0.1121	0	0	0
Unigene0000044	0.3582	0.0869	0.2535	0.0638	0.7532	0	0.0315	0.1848	0.1248
Unigene0000045	4.8108	6.7319	7.5169	8.0137	7.0621	9.0593	4.2241	4.3198	4.1355
Unigene0000046	0	0	0	4.4523	4.7739	4.6641	0	0.0729	0
Unigene0000047	0.8104	0.3129	0.3259	0.5446	1.3073	0.3369	0.2659	0.2471	0.2759
Unigene0000048	7.4764	3.8993	3.808	4.6766	11.1227	4.7199	1.0976	0.9358	1.1748
Unigene0000049	0	0.1408	0.132	0.0738	0.1673	0.1123	0	0	0
Unigene0000050	0	0	0	0	0.0422	0	0.6178	1.2286	0.5676
Unigene0000051	24.5341	24.9592	25.5543	27.6783	27.1806	28.6294	50.6375	41.6544	39.0595
Unigene0000052	0.34	0.5187	0.5501	0.2077	0.4576	0.0987	0.0342	0	0.1015
Unigene0000053	10.6865	12.3607	10.971	6.248	8.3856	6.4819	1.4962	1.4616	1.2829
Unigene0000054	0.3004	0.125	0.0456	0.0917	0.3032	0.0436	0.3325	0.4872	0.2392
Unigene0000055	9.427	12.3614	11.034	14.3678	12.0547	14.375	6.2344	8.907	10.9494
Unigene0000056	0.0261	0.0761	0	0	0	0.0354	0	0	0
Unigene0000057	2.749	2.1602	1.6229	1.5697	2.694	1.5201	0.8615	0.9503	1.3933
Unigene0000058	6.4292	6.0153	9.3821	3.233	3.6184	3.7864	12.1888	16.6611	18.1575
Unigene0000059	0.4463	0.1873	0.1366	0.4469	0.4626	0.4904	0.2209	0.1867	0.1681
Unigene0000060	13.1717	7.2472	7.9346	5.9621	11.5001	7.2462	7.2673	6.6716	8.1662
Unigene0000061	8.2269	3.6531	3.7164	5.3011	9.4217	4.4476	2.897	6.1416	4.8175
Unigene0000062	1.1071	0.3738	0.2385	0.1029	0.5182	0.0326	0	0.1987	0
Unigene0000063	0.409	0.7731	0.3504	0.8743	0.9196	0.5177	13.484	19.5691	28.4798
Unigene0000064	6.8	5.5814	5.2686	7.5374	9.6296	7.2684	4.4306	4.4677	5.445
Unigene0000065	0.0342	0.199	0.0725	0.0974	0.0575	0.1157	0.0241	0	0.0476
Unigene0000066	4.8963	2.7048	2.9637	3.0644	4.714	2.9139	2.0758	2.5597	2.0088
Unigene0000067	1.9464	1.7176	2.133	1.9249	2.8255	2.2739	1.0509	1.2599	1.4794
Unigene0000068	9.7962	1.2368	1.1826	0.4316	7.8559	0.5378	0.4119	0.2156	0.9314
Unigene0000069	0	0	0	0	0	0	0.0517	0.0758	0.0768
Unigene0000070	16.4202	13.9676	15.5956	10.9859	16.2425	13.9531	11.0043	14.0915	19.719
Unigene0000071	0	0.0748	0.0273	0.1098	0.2073	0.1044	0	0.0795	0.0805
Unigene0000072	6.3672	2.9531	3.1662	2.1555	5.4919	2.0731	1.2644	1.6561	2.1881
Unigene0000073	5.3668	4.2948	4.2174	2.929	4.3355	3.1317	5.9476	6.2607	6.6408
Unigene0000074	1.8381	0.7857	1.1815	0.3124	2.4507	0.5027	0.1663	0.1044	0.235
Unigene0000075	0.5054	0	0.0325	0.0982	0.6801	0.1557	0	0.1422	0
Unigene0000076	3.9222	3.209	2.6172	1.8766	5.1648	2.24	1.3812	1.619	3.0061
Unigene0000077	7.1936	8.2421	7.8675	9.9888	10.2884	10.5422	7.115	7.2451	7.176
Unigene0000078	2.5479	1.0477	1.0519	1.0843	2.0239	1.3308	0.7103	0.7852	0.9863
Unigene0000079	30.2098	36.4334	28.4459	37.576	27.7006	31.3106	13.2748	12.9757	9.2448
Unigene0000080	10.7328	15.2578	12.0455	14.0969	12.6693	14.6737	7.134	7.8318	8.5623
Unigene0000081	40.8751	27.1885	30.4693	11.3546	48.8106	17.7041	12.4072	12.9712	31.1006
Unigene0000082	0.4929	0.3879	0.2922	0.7024	3.2444	1.2636	0.3002	0.0687	0.232
Unigene0000083	17.3341	8.7611	8.3726	5.9562	14.9255	7.2431	6.7295	6.651	7.3526
Unigene0000084	1.0235	0.5929	0.3038	0.847	1.2773	0.7606	0.2674	0.477	0.4831
Unigene0000085	0.0536	0.1561	0.0759	0.1528	1.0462	0.0363	0.1511	0.332	0.1868
Unigene0000086	0.4818	0.3367	0.2182	0.0824	0.3112	0.1436	0.2715	0.2983	0.282
Unigene0000087	0.8214	0.2468	0.1799	0.3484	1.3816	0.1855	0.1377	0.2422	0.3134
Unigene0000088	0.5508	0.0729	0.0177	0.0357	0.2527	0.0339	0	0.0517	0.0872
Unigene0000089	13.0671	12.0832	9.3356	7.9875	10.0835	10.9521	1.7446	1.1504	2.028
Unigene0000090	0.541	0.0973	0.0851	0.1285	1.4965	0.258	0.1411	0.1654	0.2513
Unigene0000091	8.6055	8.9519	8.6037	11.0928	8.4041	9.8603	15.007	13.4667	11.9786
Unigene0000092	0.2056	0	0	0.1172	0.2767	0.1672	0	0.0424	0.0573
Unigene0000093	9.7074	10.7937	10.6289	9.8559	9.4678	10.1544	4.9722	5.961	5.8358
Unigene0000094	0.229	0.0556	0	0.1632	0.2311	0.0776	0.0403	0	0.5185
Unigene0000095	0.6343	0.1026	0.2868	0.4269	0.7706	0.3821	0.0496	0.1818	0.0737
Unigene0000096	5.234	7.7071	7.534	3.8245	3.2828	4.7636	7.5754	5.5157	6.8146
Unigene0000097	0.771	0.7332	0.323	1.738	3.9067	1.3114	0.0554	0.0974	0.0548
Unigene0000098	13.9354	12.0704	11.8029	11.0595	13.4492	11.9421	7.6118	8.748	7.8343
Unigene0000099	4.9853	5.4308	3.811	6.0726	3.6634	6.2887	3.2436	4.1136	2.9515
Unigene0000100	0.0156	0	0.011	1.2743	11.7916	1.7702	0.7776	0.9147	2.1237
Unigene0000101	0.8354	0.644	0.7477	0	0	0	0.4499	0.3296	0.4965
Unigene0000102	2.931	3.0462	2.6021	1.631	2.5156	1.6702	3.0781	3.6553	3.8896
Unigene0000103	30.3162	37.1549	38.4534	50.5549	37.768	45.4918	29.9305	35.714	27.7784
Unigene0000104	30.8798	25.7593	26.0915	32.042	41.3872	31.1083	23.0555	23.7816	23.9724
Unigene0000105	7.6602	6.6963	8.3525	5.4191	6.7663	7.1333	5.4827	5.3177	5.4725
Unigene0000106	24.491	29.3338	29.5615	42.1722	28.539	37.096	44.6289	30.3209	27.3003
Unigene0000107	0	0.0598	0	0	0	0	0.0434	0	0
Unigene0000108	0.0353	0.1541	0.2995	0.1005	0.2848	0.2629	0.2484	0.1456	0.0614
Unigene0000109	0.6139	0.2384	1.0862	0.175	0.9087	0.7903	0.1297	0.5068	0.2994
Unigene0000110	0.7031	0	0.1244	0	0.9461	0	0	0	0
Unigene0000111	0.4194	0	0.2968	0.0498	0.7995	0.1895	0	0	0
Unigene0000112	0	0	0	0.4182	0.4739	0.5568	0	0	0
Unigene0000113	0.1783	0.1038	0.164	0.0889	0.3119	0.3141	0.1507	0.1104	0.236
Unigene0000114	0.1563	0.232	0.2472	0.3799	0.2907	0.1993	0.0583	0.1138	0.0512
Unigene0000115	0.4475	0.4665	0.1642	0.2008	0.4683	0.1348	0.3618	0.3078	0.6582
Unigene0000116	1.3392	1.1869	1.3599	1.1203	0.4309	0.9173	1.343	1.352	1.2475
Unigene0000117	41.903	39.238	37.6047	32.8851	38.5738	36.3459	28.0771	28.3147	32.7137
Unigene0000118	1.9773	1.948	2.3985	4.7037	1.6481	3.6594	6.0899	4.8018	5.0311
Unigene0000119	1.3343	1.4412	1.7423	0.7633	0.4931	0.6622	0.2647	0.3297	0.6416
Unigene0000120	4.4997	2.9371	3.6787	1.1057	2.8709	0.9462	0.0546	0.4003	0.5406
Unigene0000121	8.4047	5.7187	5.6083	5.932	10.5827	6.2806	2.7567	3.3124	3.6308
Unigene0000122	17.455	19.9138	18.9289	22.0375	18.2639	20.0013	14.5812	16.5101	16.4843
Unigene0000123	7.1641	15.0521	14.5131	59.462	19.1837	41.5544	70.7729	55.3991	40.6872
Unigene0000124	24.1449	25.9187	27.4338	19.6097	21.5092	22.9072	17.7346	20.3291	21.3731
Unigene0000125	46.5461	54.6025	52.2797	76.9789	63.9363	68.2578	59.7913	65.3473	72.018
Unigene0000126	1.072	0.2825	0.5853	0.3056	1.4219	0.3424	0.1941	0.079	0.2561
Unigene0000127	7.7018	8.6443	7.0689	6.4315	4.7771	5.3816	3.9834	4.2224	3.857
Unigene0000128	45.7858	53.6966	51.5815	58.9051	40.9487	47.6538	31.1491	34.4568	38.8464
Unigene0000129	0	0	0	0	0	0	0	0	0
Unigene0000130	0.8435	0.712	0.9474	1.5288	0.7773	1.0189	1.0073	1.2679	0.5877
Unigene0000131	4.3933	4.1198	3.9825	3.1886	3.8956	4.4652	3.0941	2.7146	3.165
Unigene0000132	5.6045	3.942	4.2001	2.0468	3.9485	2.5391	2.0288	2.4361	2.5075
Unigene0000133	0.5808	0.1128	0.0685	0.2207	0.9769	0.4722	0.1091	0.1399	0.2428
Unigene0000134	0.6484	0.4196	0.5506	0.2772	0.5816	0.0879	0	0.1784	0.2108
Unigene0000135	0	0	0	0	0	0	0	0	0.7546
Unigene0000136	0	0	0	0	0	0	0	0	0
Unigene0000137	0.2008	0.0487	0	0.2146	0.4728	0	0	0	0.4896
Unigene0000138	0.7602	0.4382	0.2858	0.237	0.7753	0.6117	0.251	0.1226	0.2814
Unigene0000139	2.7149	3.2288	2.5704	3.4336	2.6251	2.8507	2.7984	3.0986	2.6308
Unigene0000140	11.2133	10.3539	11.847	9.948	11.8798	9.6636	26.4084	28.17	33.9283
Unigene0000141	0	0	0	0.0964	0.0911	0.0917	0.8102	0.7681	0.4715
Unigene0000142	4.5803	5.1623	4.1335	4.2824	3.7539	3.166	3.2582	3.5847	2.6023
Unigene0000143	0	0.1158	0	0	0.5218	0.0809	0	0.1231	0
Unigene0000144	18.0863	17.5884	17.897	12.7948	16.3868	16.4249	22.3863	23.1407	23.7896
Unigene0000145	0.0515	0.1501	0.0729	5.141	3.3979	3.5965	0	0.0532	0
Unigene0000146	8.4958	8.5547	8.164	9.8309	10.1843	9.9218	6.2579	6.7887	6.7704
Unigene0000147	0	0	0.0351	0.0707	0.2336	0	0.524	0.3071	0.311
Unigene0000148	17.4145	13.3786	14.765	10.6741	13.4724	9.6089	10.2902	10.939	9.7954
Unigene0000149	1.1107	1.0782	0.9487	0.7096	2.0615	0.8045	0.5664	0.7114	0.7472
Unigene0000150	1.3464	0.5027	0.2565	0.2583	1.2195	0.1053	0.0365	0	0.3247
Unigene0000151	20.2439	21.626	22.2178	22.414	22.101	23.9115	20.9562	21.7415	23.5039
Unigene0000152	1.0549	0.1182	0.1579	0.1735	0.6688	0.1375	0.2286	0.1256	0.2544
Unigene0000153	2.2532	2.3512	2.9501	0	0	0	1.3488	0.465	1.0597
Unigene0000154	1.7204	0.4824	0.2976	0.109	1.1061	0.1813	0.2693	0.0395	0.2397
Unigene0000155	11.4228	13.8248	12.502	18.5623	13.2157	17.8116	8.1222	10.2201	8.8646
Unigene0000156	1.1293	1.4168	1.1031	0.9789	1.7285	1.253	0.8186	0.7156	0.7685
Unigene0000157	23.9518	28.0716	27.0964	15.9471	15.179	14.1747	33.594	22.9311	14.9701
Unigene0000158	3.8081	3.3269	3.4742	3.2218	4.7237	3.9408	2.521	2.6294	2.8849
Unigene0000159	0	0	0	0	0	0	0	0.1613	0.599
Unigene0000160	33.6584	20.8869	26.1123	20.5719	40.1187	26.6453	25.9851	29.9315	25.5668
Unigene0000161	73.0805	92.6154	86.4183	63.7898	60.6556	58.0661	48.4128	52.6109	44.3319
Unigene0000162	109.9754	54.7984	65.0565	33.1371	114.495	50.02	58.9981	60.2998	95.0588
Unigene0000163	12.6941	11.7082	12.4393	14.7789	12.5014	12.9998	8.7659	9.1544	9.2568
Unigene0000164	0.0228	0.0443	0.2907	1.6263	0.6603	1.0207	2.4754	1.6251	0.6838
Unigene0000165	1.106	0.161	0.0783	0	0	0	0.2337	0.0571	0.1541
Unigene0000166	0.9133	0.4074	0.5765	0.2111	1.0297	0.552	0.1739	0.3566	0.1892
Unigene0000167	1.1258	0.888	0.7221	0.5014	0.6155	0.9774	0.7929	1.0166	0.5393
Unigene0000168	0	0.1368	0.0332	0.1004	0.0948	0.0955	0.0661	0	0
Unigene0000169	0	0	0	0.0313	0	0	0.1547	0.3628	0.3368
Unigene0000170	0.5271	0.4186	0.2713	0.0683	0	0	0	0	0.0334
Unigene0000171	30.6706	40.498	40.3259	27.9389	26.8729	27.6854	26.9988	35.9842	40.8601
Unigene0000172	0.6005	0.212	0.2704	0.1167	0.4407	0.5548	0.1538	0.169	0.1141
Unigene0000173	0.3877	0.1951	0.3252	0.3479	0.7439	0.3405	0.3337	0.6224	0.4402
Unigene0000174	1.0603	1.5193	1.1256	0	0	0	0.0178	0	0
Unigene0000175	1.4532	0.6945	0.5643	1.3117	3.7105	1.4139	2.1572	1.4843	1.402
Unigene0000176	0.1715	0.0832	0	0.1222	0.375	0.1453	0	0.0885	0.0299
Unigene0000177	0.089	0.2592	0.3359	0.1057	0.1597	0.0402	0.2298	0.0612	0.0413
Unigene0000178	1.7943	1.8611	1.7628	1.9734	1.8909	2.2207	1.5003	1.7164	1.4386
Unigene0000179	0.1965	0.0763	0.0556	0	0.3437	0.1598	0.1384	0	0.3012
Unigene0000180	1.5016	1.074	2.3491	1.971	2.6586	1.7136	0.7236	0.6524	0.6057
Unigene0000181	0.494	0.1798	0.0437	0	0.7063	0.0418	0	0	0.086
Unigene0000182	2.7376	2.196	2.448	1.7055	2.5037	1.966	2.8055	3.2819	3.3467
Unigene0000183	16.1745	16.3531	16.4942	11.9138	13.7631	12.0665	11.7586	16.0639	13.401
Unigene0000184	0.0369	0.0358	0.1045	0.0526	0.0745	0.025	0.1299	0	0.0257
Unigene0000185	2.1442	1.7296	1.9734	1.3773	1.3749	1.4187	1.3328	1.4647	1.5641
Unigene0000186	11.4109	11.1989	11.3436	11.0656	12.1432	11.5314	9.4436	10.5923	10.5504
Unigene0000187	0.4878	0.0789	0.1439	0.2317	0.3556	0.4958	0.1718	0.1678	0.4249
Unigene0000188	0	0	0	0	0.1261	0.0423	0.132	0.1934	0.1306
Unigene0000189	0.1806	0.0877	0.1918	0.1287	0.3342	0.1224	0.318	0.5126	0.2517
Unigene0000190	153.1733	159.2881	148.7601	145.1793	129.6989	146.3126	122.2121	130.0387	123.0611
Unigene0000191	0.2164	0.2101	0.2872	0.212	0.6916	0.2749	0.1905	0.1675	0.1508
Unigene0000192	1.3591	1.2314	1.8917	1.5012	1.4631	1.5042	10.7207	10.2622	8.5071
Unigene0000193	1.3021	0.9144	1.1764	0.5922	1.4446	0.7696	2.1853	1.2294	1.5925
Unigene0000194	10.7653	11.2844	10.7068	10.7313	8.8833	10.6095	10.9985	10.2295	9.8893
Unigene0000195	0.2241	0.0363	0	0.0799	0.8545	0.0506	0.0263	0	0.026
Unigene0000196	1.3154	0.4041	0.4596	0.3204	2.0614	0.2933	0.0704	0.1546	0.2784
Unigene0000197	0.9064	0.0293	0.2994	0	1.24	0.1228	0.1277	0.0935	0.421
Unigene0000198	0.3004	0	0.085	0.1713	0.2426	0.2036	0	0.062	0.2093
Unigene0000199	0.3081	0.4486	0.1635	0.0823	0.6348	0.0783	0.0542	0	0.0537
Unigene0000200	1.059	0.5535	0.7495	0.1741	0.3289	0.2208	0.9179	0.3363	0.6811
Unigene0000201	1.8546	1.1882	1.1201	0.8811	2.6038	0.9383	0.4267	0.8549	0.6461
Unigene0000202	51.4308	60.8889	59.4551	73.8263	56.6687	67.5202	40.1665	37.5723	31.9825
Unigene0000203	6.9935	7.5625	7.4529	6.4435	6.6035	6.8569	7.0131	6.7737	6.5954
Unigene0000204	4.4642	2.1179	3.0525	2.5593	6.8203	2.7747	1.7375	2.1649	1.7891
Unigene0000205	7.1337	3.8206	4.3175	2.4365	9.0533	3.6003	2.1021	2.2847	3.1137
Unigene0000206	4.9286	7.8876	6.2535	12.2132	8.6338	9.0258	4.2842	5.1779	4.7335
Unigene0000207	0	0	0	0	0	0	0	0	0
Unigene0000208	0	0	0	0.3708	0.3501	0.141	0	0	0.0181
Unigene0000209	13.1529	11.9494	11.7594	10.4819	11.8642	10.1625	7.4181	9.2318	8.0797
Unigene0000210	0	0.0829	0.1209	0.0456	0.1006	0.0289	0.0451	0.0441	0.0595
Unigene0000211	0.5057	0.0584	0.0426	0.1201	1.361	0.1958	0	0	0.0168
Unigene0000212	0	0.0434	0.0316	0.0318	0.1804	0.1817	0.0944	0.0461	0.0934
Unigene0000213	0.1874	0.2426	0.4422	0	0.2102	0.1693	0	0	0
Unigene0000214	0.5028	0.3514	0.3416	0.7596	0.4466	0.6133	0.8783	0.4359	0.6307
Unigene0000215	0.9072	0.1355	0.0494	0.0497	0.9156	0.0473	0.1229	0.072	0
Unigene0000216	3.4493	2.1029	1.7902	1.2419	3.6481	1.5417	0.0511	0.05	0.0843
Unigene0000217	2.8345	1.7579	2.8419	2.9736	1.6952	2.9342	1.6635	1.7063	1.2618
Unigene0000218	8.5983	4.9553	5.6154	4.1153	9.48	5.1141	3.164	2.7005	3.0988
Unigene0000219	0.0915	0	0.0647	0	0.1231	0	0	0	0
Unigene0000220	1.3874	1.2205	1.5342	1.2513	2.0712	1.7039	0.5802	0.6935	0.6948
Unigene0000221	22.0072	21.3233	21.9819	17.0289	19.206	20.6608	16.6189	16.3739	16.0459
Unigene0000222	27.832	29.229	32.3626	30.4298	23.3315	26.4313	23.7614	24.5199	26.1346
Unigene0000223	2.1658	1.5971	1.9859	0.9081	1.1392	1.4837	0.6068	0.9632	0.6628
Unigene0000224	0.5784	0.1296	0.0945	0.0634	0.3892	0.1507	0.094	0.2755	0.124
Unigene0000225	64.6107	16.0222	18.3664	6.1064	59.9168	12.1076	3.8063	1.7586	9.2275
Unigene0000226	0.6527	0.3502	0.2918	0.8936	0.6357	1.0242	0.0968	0.2127	0.2872
Unigene0000227	0.6406	0.2332	0.2267	0.428	0.6465	0.4341	0.3102	0.1653	0.3627
Unigene0000228	0.041	0	0	0	0.0552	0.0139	0.0867	0.2542	0.0715
Unigene0000229	1.3202	1.0515	1.118	0.0161	0.0456	0.0076	0	0.0116	0.0079
Unigene0000230	50.6382	58.3969	57.9868	60.8148	57.4945	62.9484	38.3238	42.2999	35.033
Unigene0000231	15.9672	17.6224	17.4254	16.4915	14.1291	15.8539	13.967	14.8491	12.8569
Unigene0000232	0.6407	0.311	0.6046	0.0507	0.0719	0.0724	2.2312	1.5796	6.4734
Unigene0000233	13.0975	10.9611	11.799	17.6086	14.9992	17.3469	26.375	24.4862	24.3958
Unigene0000234	0	0	0	0	0	0	0.5573	0.5988	0.2022
Unigene0000235	0.4236	0	0.0857	0.4097	1.1807	0.3075	0.2983	0.2498	0.6325
Unigene0000236	2.2097	1.032	1.6081	0.6388	1.1641	1.017	1.1452	0.7099	1.0458
Unigene0000237	0.3617	0.1951	0.1707	0.1146	0.7031	0.3268	0.368	0	0.14
Unigene0000238	0.2659	0.086	0	0	0.2087	0.03	0	0.0457	0.0617
Unigene0000239	0.7394	0.4102	0.6728	1.0538	2.1322	0.7873	1.5251	0.8721	0.368
Unigene0000240	0.3416	0.2579	0.1612	0.1082	0.2809	0.1029	0.1069	0	0.0264
Unigene0000241	0.0825	0	0.0584	0	0.0278	0	0.2905	0.6385	0.6897
Unigene0000242	1.7369	1.1502	1.153	1.0074	1.1958	0.7481	0.7586	0.4863	0.6004
Unigene0000243	13.5648	10.329	11.5691	24.7152	30.2631	26.817	8.1662	7.9213	8.3903
Unigene0000244	1.5157	1.9359	1.5244	1.0801	1.154	1.1351	0.7866	1.0702	1.2228
Unigene0000245	0.6815	0.0509	0.0371	0	1.164	0.071	0.0738	0	0
Unigene0000246	0	0	0	0	0.1819	0.0611	0	0	0
Unigene0000247	0.0295	0.1145	0	0.021	0.0496	0.04	1.8801	1.4307	1.7368
Unigene0000248	0.6553	0.7379	1.1502	0.2428	0.194	0.1776	0	0.0541	0
Unigene0000249	0	0	0	3.4497	3.9188	3.9465	0.5327	0.0781	0.527
Unigene0000250	0.0759	0.1474	0.0537	0	0.2554	0.1543	0	0	0.0529
Unigene0000251	0	0	0.0183	0.1847	0.2267	0.2986	0	0	0.0181
Unigene0000252	6.5671	7.599	6.874	5.475	5.5987	5.6382	9.1378	14.317	14.9795
Unigene0000253	1.3087	0.0669	0.3656	0.1227	1.8074	0.2567	0.2425	0.2132	0.5279
Unigene0000254	20.8711	12.4731	12.1227	15.0318	35.2408	17.6836	5.8481	5.1855	8.5562
Unigene0000255	0	0.0271	0	0	0.0094	0	0.0197	2.8547	2.9884
Unigene0000256	12.7441	14.2132	14.659	15.4038	17.5139	16.1679	25.5257	16.9757	20.8659
Unigene0000257	0.2069	0.3012	0.183	0.2948	0.6264	0.1051	0.0729	0.2135	0.0901
Unigene0000258	0.3111	0.2013	0.4036	0.1293	0.2442	0.3337	0.1643	0.428	0.2709
Unigene0000259	0.0264	0.0513	0.1495	0.414	0.3198	0.1968	0	0.218	0.0368
Unigene0000260	14.2599	18.2788	17.781	22.5776	15.7215	22.828	18.2138	17.9723	13.9806
Unigene0000261	26.3749	24.2576	26.5286	26.578	25.2383	30.2184	18.5753	23.534	19.5836
Unigene0000262	1.2593	1.4447	0.7292	0	1.1554	0	0.1613	0.0591	0.3191
Unigene0000263	0.6581	0.4065	0.2117	0	0.0805	0	0	0.1235	0.0417
Unigene0000264	0.1199	0.0291	0.0283	0.0142	0.0134	0	7.5919	5.7838	10.6642
Unigene0000265	109.5868	90.7492	97.63	98.7815	134.6766	109.9057	57.439	58.1858	64.2473
Unigene0000266	1.2219	1.8074	1.7296	1.3268	1.0962	1.2222	0.8196	1.9815	0.9325
Unigene0000267	5.188	4.3121	4.9525	4.0096	6.3982	4.7416	3.2135	3.5428	4.0046
Unigene0000268	0.3036	0.0907	0.0661	0.1165	1.0998	0.1899	0.0658	0.0241	0.1952
Unigene0000269	0	0	0	0	0	0	0.5024	1.1325	0.8411
Unigene0000270	1.6179	0.4487	1.2789	1.0631	0.9613	0.8969	1.1099	0.7372	0.6588
Unigene0000271	24.2055	21.9045	24.2153	17.3493	16.7046	20.1757	11.0729	13.5694	9.8513
Unigene0000272	0	0	0	0.726	1.3329	0.9204	0	0	0
Unigene0000273	0.1842	0.1788	0.0652	0.1312	0.5576	0.0624	0.0432	0.095	0.1283
Unigene0000274	12.4217	6.1769	7.3608	2.8524	8.2914	2.8455	1.2122	1.6036	2.395
Unigene0000275	3.314	0.4354	0.3527	0	0.9556	0.2364	0	0.0514	0.0347
Unigene0000276	0.9281	0.913	0.5518	0.582	1.0699	0.5534	0.3617	0.2682	0.2845
Unigene0000277	0.2253	0	0.1772	0.1784	0.2864	0.1357	0.2468	0.8526	0.4361
Unigene0000278	1.0556	0.6055	0.5705	0.6565	1.046	0.7738	0.5812	0.5546	0.3945
Unigene0000279	47.0112	50.8117	50.2795	89.6379	52.9431	77.4492	115.0841	95.4282	119.0738
Unigene0000280	40.215	32.1928	34.2028	16.4596	27.6293	27.6017	17.035	23.7803	31.0949
Unigene0000281	1.3694	0.7976	0.7753	0.3903	0.7985	0.5567	0.1286	0.1884	0.5725
Unigene0000282	1.0988	2.0596	1.6625	2.6729	1.9629	1.6174	2.6951	2.1114	3.8807
