Samples	Sepal.Length	Sepal.Width	Petal.Length	Petal.Width	Group
versicolor_85	5.4	3	4.5	1.5	versicolor
versicolor_86	6	3.4	4.5	1.6	versicolor
versicolor_87	6.7	3.1	4.7	1.5	versicolor
versicolor_88	6.3	2.3	4.4	1.3	versicolor
versicolor_89	5.6	3	4.1	1.3	versicolor
versicolor_90	5.5	2.5	4	1.3	versicolor
versicolor_91	5.5	2.6	4.4	1.2	versicolor
versicolor_92	6.1	3	4.6	1.4	versicolor
versicolor_93	5.8	2.6	4	1.2	versicolor
versicolor_94	5	2.3	3.3	1	versicolor
versicolor_95	5.6	2.7	4.2	1.3	versicolor
versicolor_96	5.7	3	4.2	1.2	versicolor
versicolor_97	5.7	2.9	4.2	1.3	versicolor
versicolor_98	6.2	2.9	4.3	1.3	versicolor
versicolor_99	5.1	2.5	3	1.1	versicolor
versicolor_100	5.7	2.8	4.1	1.3	versicolor
virginica_101	6.3	3.3	6	2.5	virginica
virginica_102	5.8	2.7	5.1	1.9	virginica
virginica_103	7.1	3	5.9	2.1	virginica
virginica_104	6.3	2.9	5.6	1.8	virginica
virginica_105	6.5	3	5.8	2.2	virginica
virginica_106	7.6	3	6.6	2.1	virginica
virginica_107	4.9	2.5	4.5	1.7	virginica
virginica_108	7.3	2.9	6.3	1.8	virginica
virginica_109	6.7	2.5	5.8	1.8	virginica
virginica_110	7.2	3.6	6.1	2.5	virginica
virginica_111	6.5	3.2	5.1	2	virginica
virginica_112	6.4	2.7	5.3	1.9	virginica
virginica_113	6.8	3	5.5	2.1	virginica
virginica_114	5.7	2.5	5	2	virginica
virginica_115	5.8	2.8	5.1	2.4	virginica
virginica_116	6.4	3.2	5.3	2.3	virginica
virginica_117	6.5	3	5.5	1.8	virginica
virginica_118	7.7	3.8	6.7	2.2	virginica
virginica_119	7.7	2.6	6.9	2.3	virginica
virginica_120	6	2.2	5	1.5	virginica
virginica_121	6.9	3.2	5.7	2.3	virginica
virginica_122	5.6	2.8	4.9	2	virginica
virginica_123	7.7	2.8	6.7	2	virginica
virginica_124	6.3	2.7	4.9	1.8	virginica
virginica_125	6.7	3.3	5.7	2.1	virginica
virginica_126	7.2	3.2	6	1.8	virginica
virginica_127	6.2	2.8	4.8	1.8	virginica
virginica_128	6.1	3	4.9	1.8	virginica
virginica_129	6.4	2.8	5.6	2.1	virginica
virginica_130	7.2	3	5.8	1.6	virginica
virginica_131	7.4	2.8	6.1	1.9	virginica
virginica_132	7.9	3.8	6.4	2	virginica
virginica_133	6.4	2.8	5.6	2.2	virginica
virginica_134	6.3	2.8	5.1	1.5	virginica
virginica_135	6.1	2.6	5.6	1.4	virginica
virginica_136	7.7	3	6.1	2.3	virginica
virginica_137	6.3	3.4	5.6	2.4	virginica
virginica_138	6.4	3.1	5.5	1.8	virginica
virginica_139	6	3	4.8	1.8	virginica
virginica_140	6.9	3.1	5.4	2.1	virginica
virginica_141	6.7	3.1	5.6	2.4	virginica
virginica_142	6.9	3.1	5.1	2.3	virginica
virginica_143	6.8	3.2	5.9	2.3	virginica
virginica_144	6.7	3.3	5.7	2.5	virginica
virginica_145	6.7	3	5.2	2.3	virginica
virginica_146	6.3	2.5	5	1.9	virginica
virginica_147	6.5	3	5.2	2	virginica
virginica_148	6.2	3.4	5.4	2.3	virginica
virginica_149	5.9	3	5.1	1.8	virginica
